"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.121424338E0,2.308654785E-2,-4.577636719E-5,-5.566406250E-2,6.026175106E-2
1.126398704E0,3.213500977E-2,4.882812500E-4,-5.885314941E-2,6.705662135E-2
1.131403586E0,3.640747070E-2,4.882812500E-4,-6.045532227E-2,7.057328341E-2
1.136408469E0,4.013061523E-2,-4.577636719E-5,-6.152343750E-2,7.345475979E-2
1.141413352E0,3.746032715E-2,-4.577636719E-5,-6.205749512E-2,7.248731548E-2
1.146418235E0,3.480529785E-2,-3.768920898E-3,-6.152343750E-2,7.078662928E-2
1.151423118E0,3.266906738E-2,-6.439208984E-3,-5.833435059E-2,6.716865217E-2
1.156397483E0,3.213500977E-2,-8.026123047E-3,-5.673217773E-2,6.569335959E-2
1.161371848E0,3.587341309E-2,-6.958007812E-3,-5.247497559E-2,6.394480981E-2
1.166376731E0,3.959655762E-2,-4.837036133E-3,-4.873657227E-2,6.298045546E-2
1.171381614E0,4.438781738E-2,-2.700805664E-3,-4.501342773E-2,6.327544041E-2
1.176386497E0,5.291748047E-2,-5.798339844E-4,-4.234313965E-2,6.777564033E-2
1.181391379E0,6.303405762E-2,3.692626953E-3,-3.968811035E-2,7.457931360E-2
1.186365745E0,6.889343262E-2,3.692626953E-3,-3.915405273E-2,7.932830767E-2
1.191370627E0,7.421875000E-2,4.226684570E-3,-3.861999512E-2,8.377226114E-2
1.196344993E0,7.475280762E-2,4.745483398E-3,-3.543090820E-2,8.286043154E-2
1.201349875E0,6.782531738E-2,5.813598633E-3,-3.701782227E-2,7.748800406E-2
1.206354758E0,5.664062500E-2,4.745483398E-3,-3.436279297E-2,6.641898489E-2
1.211359641E0,4.066467285E-2,3.158569336E-3,-2.796936035E-2,4.945581156E-2
1.216364524E0,2.201843262E-2,1.556396484E-3,-2.529907227E-2,3.357494307E-2
1.221369407E0,-1.953125000E-3,-1.632690430E-3,-2.264404297E-2,2.278668597E-2
1.226343772E0,-2.539062500E-2,-6.439208984E-3,-1.890563965E-2,3.230434121E-2
1.231348655E0,-4.190063477E-2,-1.069641113E-2,-1.997375488E-2,4.763430790E-2
1.236353538E0,-5.041503906E-2,-1.388549805E-2,-1.785278320E-2,5.525581497E-2
1.241327903E0,-5.308532715E-2,-1.655578613E-2,-2.104187012E-2,5.945507809E-2
1.246332786E0,-5.094909668E-2,-1.388549805E-2,-2.371215820E-2,5.788682022E-2
1.251307151E0,-4.881286621E-2,-9.628295898E-3,-2.583312988E-2,5.606024072E-2
1.256312034E0,-4.243469238E-2,-9.628295898E-3,-2.796936035E-2,5.172709462E-2
1.261316916E0,-3.018188477E-2,-5.371093750E-3,-3.062438965E-2,4.333183653E-2
